Arquivo,Teste,Metodo,PWM,Kp,Ki,Kd
monitor_output_test6.txt,2,IMC,20,9.999999999999998,6.41621608789189,0.9301081603617811
monitor_output_test6.txt,2,Lee,20,0.32919461096794356,0.21121837589398318,0.30970007019826645
monitor_output_test6.txt,2,SIMC,20,3.5602669393259925,1.1797717906983267,0.33114333333333684
monitor_output_test6.txt,2,IMC_robusto,20,23.944489162439147,3.096082356906242,120.19356608760107
monitor_output_test6.txt,3,IMC,30,4.999999999999999,4.695574186550468,0.5521786905381815
monitor_output_test6.txt,3,Lee,30,0.31215172494988724,0.2931463163923785,0.1833421825335743
monitor_output_test6.txt,3,SIMC,30,1.888624735440092,0.9421820940054997,0.2085716666666659
monitor_output_test6.txt,3,IMC_robusto,30,12.215679902917756,2.452773245525744,39.487574722056955
monitor_output_test6.txt,4,IMC,40,4.444444444444444,7.0164507704764585,0.38803445099079287
monitor_output_test6.txt,4,Lee,40,0.39986475011034206,0.6312670501495694,0.12829783236130002
monitor_output_test6.txt,4,SIMC,40,1.7744128944614515,1.5266485253386637,0.15491999999999995
monitor_output_test6.txt,4,IMC_robusto,40,10.987896185865715,3.920099912070099,19.99007999075076
monitor_output_test6.txt,5,IMC,50,3.8461538461538463,7.85220208333055,0.3421674817815172
monitor_output_test6.txt,5,Lee,50,0.5207906135458965,1.0632318165726617,0.1119646518137188
monitor_output_test6.txt,5,SIMC,50,1.6836196083199015,1.9513259129724123,0.1497807692307693
monitor_output_test6.txt,5,IMC_robusto,50,9.64089266358167,4.876910346321231,12.370073965451907
monitor_output_test6.txt,6,IMC,60,3.5294117647058827,9.065615337328895,0.303406310648873
monitor_output_test6.txt,6,Lee,60,0.6952706892987603,1.785866043608921,0.09721073621657625
monitor_output_test6.txt,6,SIMC,60,1.7536934540409923,2.6959410141231004,0.15075647058823596
monitor_output_test6.txt,6,IMC_robusto,60,8.966855612356685,6.4778646906056006,8.056215113068612
monitor_output_test6.txt,7,IMC,70,3.3333333333333335,9.198942305613693,0.27608994382665936
monitor_output_test6.txt,7,Lee,70,0.7159822923703337,1.9758839398067205,0.0877840163127627
monitor_output_test6.txt,7,SIMC,70,1.719005022138637,2.8814373656106507,0.14238000000000048
monitor_output_test6.txt,7,IMC_robusto,70,8.496417180132983,6.844453282542444,6.845662220329118
monitor_output_test6.txt,8,IMC,80,3.330557868442964,9.172841557973301,0.27419623993345627
monitor_output_test6.txt,8,Lee,80,0.7003581905199694,1.9288884833194349,0.08735720836673701
monitor_output_test6.txt,8,SIMC,80,1.7014169823808025,2.8356618879126465,0.14007327227310504
monitor_output_test6.txt,8,IMC_robusto,80,8.482479185053371,6.755365868210882,6.913202892261798
monitor_output_test6.txt,9,IMC,90,3.2142857142857144,9.71993623721828,0.2508175609699204
monitor_output_test6.txt,9,Lee,90,0.7577481224922992,2.2914152907324046,0.07895944432033075
monitor_output_test6.txt,9,SIMC,90,1.7324182433121527,3.2369064799333214,0.13518428571428612
monitor_output_test6.txt,9,IMC_robusto,90,8.222547588543236,7.585758091268477,5.784906917735071
monitor_output_test6.txt,10,IMC,100,3.125,10.009048179554302,0.2389001357126847
monitor_output_test6.txt,10,Lee,100,0.8515149137697398,2.727313215209713,0.07372076336540373
monitor_output_test6.txt,10,SIMC,100,1.8219618242779567,3.7128262786348136,0.13928541666666702
monitor_output_test6.txt,10,IMC_robusto,100,8.04083036610012,8.499204805085334,4.93748828959773
monitor_output_test6.txt,11,IMC,110,3.0555555555555554,10.169101057013327,0.2284393187391021
monitor_output_test6.txt,11,Lee,110,0.9270435099875289,3.085265172211045,0.06913722317805965
monitor_output_test6.txt,11,SIMC,110,1.9057213740163157,4.133312021793752,0.14247546296296346
monitor_output_test6.txt,11,IMC_robusto,110,7.897811762583652,9.27926896062092,4.362971408643149
monitor_output_test6.txt,12,IMC,120,3.0769230769230766,10.954211805436243,0.21604425665334812
monitor_output_test6.txt,12,Lee,120,1.0402816630962841,3.703526344332154,0.063783041889545
monitor_output_test6.txt,12,SIMC,120,2.073400876393392,4.938597157922131,0.14558256410256354
monitor_output_test6.txt,12,IMC_robusto,120,7.991155913040693,10.851408755250784,3.8195804190452978
monitor_output_test6.txt,13,IMC,130,3.0232558139534884,10.962186065653269,0.19661727103671978
monitor_output_test6.txt,13,Lee,130,1.355438475989303,4.914757363820233,0.052365315552440346
monitor_output_test6.txt,13,SIMC,130,2.64575595665516,6.947231765524155,0.1720665891472876
monitor_output_test6.txt,13,IMC_robusto,130,7.961936515622478,14.300830325227025,2.877125060807873
monitor_output_test6.txt,14,IMC,140,3.017241379310345,10.54861476796423,0.21568011103291082
monitor_output_test6.txt,14,Lee,140,1.0312051374336275,3.6052089886223473,0.06349569908517898
monitor_output_test6.txt,14,SIMC,140,2.05017076974419,4.80865666645758,0.14655143678160912
monitor_output_test6.txt,14,IMC_robusto,140,7.840010891552071,10.542106771965756,3.7843255900859685
monitor_output_test6.txt,15,IMC,150,3.013258336681398,10.707944224962672,0.20041647918008162
monitor_output_test6.txt,15,Lee,150,1.3437022166872112,4.774993307441295,0.053520984061261476
monitor_output_test6.txt,15,SIMC,150,2.62118526651177,6.734179948698907,0.17433909200482126
monitor_output_test6.txt,15,IMC_robusto,150,7.9332894691231735,13.881288204298166,2.9427908969186496
monitor_output_test6.txt,16,IMC,160,2.9427993378701496,9.934086698354012,0.21790294996755719
monitor_output_test6.txt,16,Lee,160,0.9976380068039764,3.3677533923657204,0.06428662252271558
monitor_output_test6.txt,16,SIMC,160,1.9871387570150671,4.491064280824629,0.14713996689350695
monitor_output_test6.txt,16,IMC_robusto,160,7.643760031678539,9.862505762409938,3.8451155175835656
monitor_output_test6.txt,17,IMC,170,2.9824561403508776,9.924384364167468,0.2239094975447656
monitor_output_test6.txt,17,Lee,170,1.0299971529270855,3.4274058556462044,0.06573475359817464
monitor_output_test6.txt,17,SIMC,170,2.0430588708033923,4.573159195978497,0.15338374269005842
monitor_output_test6.txt,17,IMC_robusto,170,7.753317392601825,10.003898422204557,3.900213894805026
monitor_output_test6.txt,18,IMC,180,2.969806962547435,9.680717536268164,0.2197613632377401
monitor_output_test6.txt,18,Lee,180,1.2538700014354784,4.087255994808836,0.06019572750629839
monitor_output_test6.txt,18,SIMC,180,2.4366678457036213,5.6481749195740925,0.1803098498597591
monitor_output_test6.txt,18,IMC_robusto,180,7.796265680030914,11.802647981338199,3.342538203340602
monitor_output_test6.txt,19,IMC,190,2.9526029526029527,9.154038108002895,0.23410092812394867
monitor_output_test6.txt,19,Lee,190,1.1616717995376613,3.601563804095418,0.06595442872952241
monitor_output_test6.txt,19,SIMC,190,2.2609876730322473,4.8838701221130805,0.17926531986531982
monitor_output_test6.txt,19,IMC_robusto,190,7.723445037540221,10.379041695313646,3.730331580729269
monitor_output_test6.txt,20,IMC,200,2.9559562518474727,8.874360350138526,0.24096551641122918
monitor_output_test6.txt,20,Lee,200,1.185665066019245,3.5595990447589685,0.06739888814599929
monitor_output_test6.txt,20,SIMC,200,2.305167181033607,4.8482373698034635,0.18791408020494704
monitor_output_test6.txt,20,IMC_robusto,200,7.739651319896491,10.256761660480846,3.790662339145974
monitor_output_test6.txt,21,IMC,210,2.9453015427769986,8.252051364186404,0.25091073091985
monitor_output_test6.txt,21,Lee,210,1.2815374980652448,3.5905706446594676,0.06780252941376372
monitor_output_test6.txt,21,SIMC,210,2.4942069535305906,5.014418682347838,0.21248190743337975
monitor_output_test6.txt,21,IMC_robusto,210,7.7441690779633445,10.400520871483025,3.742632079374152
monitor_output_test6.txt,22,IMC,220,2.922811212966653,7.167468462123516,0.2508247324981565
monitor_output_test6.txt,22,Lee,220,1.5699826847028795,3.8499925444265366,0.059484911900689566
monitor_output_test6.txt,22,SIMC,220,3.235588277279014,6.098233016218196,0.27766609096142775
monitor_output_test6.txt,22,IMC_robusto,220,7.780118324014183,11.954986815546816,3.286289925976087
monitor_output_test6.txt,23,IMC,230,2.9221191716427395,7.082397183741541,0.2815212343728742
monitor_output_test6.txt,23,Lee,230,1.3388779670704325,3.2450646213797074,0.07413996603340602
monitor_output_test6.txt,23,SIMC,230,2.6214454654562336,4.632404828220589,0.25255388980646276
monitor_output_test6.txt,23,IMC_robusto,230,7.704768865160523,9.48266173458351,4.063231288199714
monitor_output_test6.txt,24,IMC,240,2.936498225865655,6.2226667652722565,0.27243897618712104
monitor_output_test6.txt,24,Lee,240,1.6918504425025933,3.585161886916698,0.06066818990840669
monitor_output_test6.txt,24,SIMC,240,3.639888551878112,6.0785671374551615,0.3376972959745501
monitor_output_test6.txt,24,IMC_robusto,240,7.853713994705757,11.676847598291339,3.42852345110937
monitor_output_test6.txt,25,IMC,250,3.023705853894533,5.880859875261772,0.2977355386906953
monitor_output_test6.txt,25,Lee,250,1.7828699281632123,3.467535775624947,0.06474116250039672
monitor_output_test6.txt,25,SIMC,250,3.904268895940689,6.035416824638212,0.3844420254797619
monitor_output_test6.txt,25,IMC_robusto,250,8.10042067905531,11.51474778369364,3.6986504619725165
monitor_output_test5.txt,2,IMC,20,10.0,2.2996393245683353,10.621007720797571
monitor_output_test5.txt,2,Lee,20,4.043588492772255,0.929879511035108,2.961469464486722
monitor_output_test5.txt,2,SIMC,20,7.859087906497174,1.2690536212347927,8.34714333333333
monitor_output_test5.txt,2,IMC_robusto,20,26.19385033133999,2.67964091249486,166.1899114362849
monitor_output_test5.txt,3,IMC,30,6.0,6.719436642431898,0.5539483284124658
monitor_output_test5.txt,3,Lee,30,0.37318064132783507,0.41792727926408174,0.18393513776464512
monitor_output_test5.txt,3,SIMC,30,2.2652870956325843,1.34734819905429,0.2091419999999999
monitor_output_test5.txt,3,IMC_robusto,30,14.657058064655178,3.507888713049636,39.7493821580091
monitor_output_test5.txt,4,IMC,40,4.444444444444445,8.773525798168766,0.4029577179225919
monitor_output_test5.txt,4,Lee,40,0.5874759864192904,1.1597030375972148,0.13197239921942103
monitor_output_test5.txt,4,SIMC,40,1.932786595415897,2.1598662985838035,0.1752370370370373
monitor_output_test5.txt,4,IMC_robusto,40,11.131294596779231,5.408964866531934,14.868246957876213
monitor_output_test5.txt,5,IMC,50,3.8461538461538463,8.983265882481454,0.3564811020652615
monitor_output_test5.txt,5,Lee,50,0.7242078286350668,1.6914953844888767,0.11461406385857867
monitor_output_test5.txt,5,SIMC,50,1.876854375995284,2.60454641156037,0.17395641025640995
monitor_output_test5.txt,5,IMC_robusto,50,9.755188388537825,6.293504875848138,9.814345021548533
monitor_output_test5.txt,6,IMC,60,3.5294117647058822,7.620969070995618,0.3271283102285656
monitor_output_test5.txt,6,Lee,60,0.5666868962361636,1.2236326042603867,0.10623165542714785
monitor_output_test5.txt,6,SIMC,60,1.6265228176915825,2.0380090787445875,0.1507564705882349
monitor_output_test5.txt,6,IMC_robusto,60,8.900158857511995,5.013128590402397,10.255792962008314
monitor_output_test5.txt,7,IMC,70,3.333333333333334,7.956721798792012,0.29390730651440744
monitor_output_test5.txt,7,Lee,70,0.5909468582471328,1.410599924682784,0.09488996884962458
monitor_output_test5.txt,7,SIMC,70,1.5899696718863228,2.2340636170690265,0.14019111111111157
monitor_output_test5.txt,7,IMC_robusto,70,8.435818211719663,5.43673444732056,8.495694299655524
monitor_output_test5.txt,8,IMC,80,3.3333333333333335,10.959108279277512,0.2534666377346213
monitor_output_test5.txt,8,Lee,80,1.1083803190207733,3.6440579792306416,0.07514731360334025
monitor_output_test5.txt,8,SIMC,80,2.2181310615358747,4.858760501215434,0.16866666666666735
monitor_output_test5.txt,8,IMC_robusto,80,8.650588589920789,10.712626764067899,4.533962408832288
monitor_output_test5.txt,9,IMC,90,3.2142857142857144,10.747944694420426,0.23774318454376242
monitor_output_test5.txt,9,Lee,90,0.928530332023166,3.104824381766123,0.07263455257102101
monitor_output_test5.txt,9,SIMC,90,1.9419101066687288,4.184573909350284,0.1436324999999994
monitor_output_test5.txt,9,IMC_robusto,90,8.29074088963445,9.48034880407562,4.7059243494768275
monitor_output_test5.txt,10,IMC,100,3.146633102580239,10.40097544092038,0.23708561088649663
monitor_output_test5.txt,10,Lee,100,0.9644165953669787,3.1878115421218562,0.07160482560418739
monitor_output_test5.txt,10,SIMC,100,1.9759672521270168,4.266623594057331,0.14888084749318176
monitor_output_test5.txt,10,IMC_robusto,100,8.136787726476843,9.560045751806827,4.4949883937476205
monitor_output_test5.txt,11,IMC,110,3.1428571428571432,10.741524022075817,0.22870213358256852
monitor_output_test5.txt,11,Lee,110,0.9494910129389229,3.24513016679999,0.06927609303493623
monitor_output_test5.txt,11,SIMC,110,1.954631203163737,4.3493467031377735,0.14223628571428484
monitor_output_test5.txt,11,IMC_robusto,110,8.121979827740038,9.7721188769303,4.381447826040591
monitor_output_test5.txt,12,IMC,120,3.076923076923077,9.949292188698754,0.23264175222456906
monitor_output_test5.txt,12,Lee,120,0.8320567171498875,2.690472003860454,0.07187652048438732
monitor_output_test5.txt,12,SIMC,120,1.7859459774737376,3.6682646025866266,0.1350328205128211
monitor_output_test5.txt,12,IMC_robusto,120,7.914644018597277,8.408218644974303,4.835499567611879
monitor_output_test5.txt,13,IMC,130,3.0588235294117645,10.8171830536762,0.21623599456769413
monitor_output_test5.txt,13,Lee,130,1.0249489017220323,3.624615733462639,0.063985799447713
monitor_output_test5.txt,13,SIMC,130,2.0472483129903662,4.832895379420934,0.14472517647058844
monitor_output_test5.txt,13,IMC_robusto,130,7.940934929081469,10.638805739162859,3.8470955112955427
monitor_output_test5.txt,14,IMC,140,3.010105353687379,10.422152891050331,0.21733583311598587
monitor_output_test5.txt,14,Lee,140,0.995620093152528,3.447223141052588,0.06451964403976558
monitor_output_test5.txt,14,SIMC,140,1.9951590693583654,4.596452304052074,0.14405461191141744
monitor_output_test5.txt,14,IMC_robusto,140,7.80989970813518,10.145242123190263,3.9022138900018337
monitor_output_test5.txt,15,IMC,150,3.0,10.553124428372419,0.20956506474341835
monitor_output_test5.txt,15,Lee,150,1.1822002417632587,4.158635416859875,0.05900733298660428
monitor_output_test5.txt,15,SIMC,150,2.3006935845452947,5.641208582216169,0.16071500000000064
monitor_output_test5.txt,15,IMC_robusto,150,7.8480448942150085,11.984066069291625,3.335810226598895
monitor_output_test5.txt,16,IMC,160,3.0109145652992098,10.40643470234613,0.20909391720425136
monitor_output_test5.txt,16,Lee,160,1.2900925269346768,4.458865686943294,0.05690224445045055
monitor_output_test5.txt,16,SIMC,160,2.508484241978878,6.192366301019466,0.17420248400451632
monitor_output_test5.txt,16,IMC_robusto,160,7.9102617320386885,12.892962341308433,3.150007340767105
monitor_output_test5.txt,17,IMC,170,2.9627047751829902,9.929467197932098,0.21401233807441047
monitor_output_test5.txt,17,Lee,170,1.2364470184651775,4.143936383628579,0.05891257682931172
monitor_output_test5.txt,17,SIMC,170,2.4022768369604726,5.7056328602791035,0.17352956895550145
monitor_output_test5.txt,17,IMC_robusto,170,7.772958472435985,11.956497486531742,3.2798296756048955
monitor_output_test5.txt,18,IMC,180,2.962962962962963,9.596749964656974,0.22130049086056497
monitor_output_test5.txt,18,Lee,180,1.2396530675616473,4.0151161796543375,0.0608543700938327
monitor_output_test5.txt,18,SIMC,180,2.408581238392421,5.532516913730155,0.17989432098765423
monitor_output_test5.txt,18,IMC_robusto,180,7.774638418872931,11.586669477710405,3.385979736619397
monitor_output_test5.txt,19,IMC,190,2.9860128870029854,9.329526408297765,0.23663131736804505
monitor_output_test5.txt,19,Lee,190,1.1297940565642712,3.5299390476621504,0.06758522764450374
monitor_output_test5.txt,19,SIMC,190,2.206969058528427,4.7522303895686955,0.17489475614228106
monitor_output_test5.txt,19,IMC_robusto,190,7.795942997999079,10.190289623454014,3.8710907757047113
monitor_output_test5.txt,20,IMC,200,2.9695619896065333,8.714500748637704,0.2527298336599845
monitor_output_test5.txt,20,Lee,200,1.0316041174550872,3.0273538270373868,0.07407665769459282
monitor_output_test5.txt,20,SIMC,200,2.0436823311749834,4.040431015671921,0.17393120514724095
monitor_output_test5.txt,20,IMC_robusto,200,7.721885037071471,8.827542705755825,4.3841904214145595
monitor_output_test5.txt,21,IMC,210,2.9893238434163703,8.524837680367096,0.2605648955047474
monitor_output_test5.txt,21,Lee,210,1.0993657464200277,3.1351285543140053,0.07510779876653688
monitor_output_test5.txt,21,SIMC,210,2.1556769430763203,4.204148109363858,0.1878999288256233
monitor_output_test5.txt,21,IMC_robusto,210,7.793984555642255,9.072537849188787,4.345831325133307
monitor_output_test5.txt,22,IMC,220,2.9585798816568043,7.195436199610646,0.2537168655829412
